dt,l1,geo,clm
2020/1/1 0:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101000000_20200101001459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101000000_20200101001459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101000000_20200101001459_4000M_V0001.NC
2020/1/1 0:15,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101001500_20200101002959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101001500_20200101002959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101001500_20200101002959_4000M_V0001.NC
2020/1/1 1:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101010000_20200101011459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101010000_20200101011459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101010000_20200101011459_4000M_V0001.NC
2020/1/1 2:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101020000_20200101021459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101020000_20200101021459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101020000_20200101021459_4000M_V0001.NC
2020/1/1 2:45,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101024500_20200101025959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101024500_20200101025959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101024500_20200101025959_4000M_V0001.NC
2020/1/1 3:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101030000_20200101031459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101030000_20200101031459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101030000_20200101031459_4000M_V0001.NC
2020/1/1 3:15,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101031500_20200101032959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101031500_20200101032959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101031500_20200101032959_4000M_V0001.NC
2020/1/1 4:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101040000_20200101041459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101040000_20200101041459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101040000_20200101041459_4000M_V0001.NC
2020/1/1 5:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101050000_20200101051459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101050000_20200101051459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101050000_20200101051459_4000M_V0001.NC
2020/1/1 5:45,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101054500_20200101055959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101054500_20200101055959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101054500_20200101055959_4000M_V0001.NC
